[Evalation] Gamma->MalConv
1 44cf0a6a1952def1fb86c2e446eb5c9939a88df7a1539dd2c8a98d54ad395b72 True
2 8175e671dbbaf7722a9770303696d8832d4bae8ad0d7ff6e49a2f7aceecf6583 True
3 c842b6a9a4a5d531067fc00522c7ad040b89de8ef1a4a35b2becf94c44bb102f True
5 564401984b0d9f8b0ec26a8d9a623721a07c04e3198b781586bac2fbf4fb5fb0 True
6 07537f16559c736612e5ed23e5656765847811e5e1f2ec211ca907127ce330df True
7 None False
8 812408f41c61f10b43eb004afd521a2c63146236abdbbf31d9ccea94b420e35d True
9 89e442927ec30dbd2753577efdf8a17bdfc32ac09d8d1c7c4d213ec0710d5697 True
11 f6b6042fde8e03a58794a16f36cd8f439bd8074e70e510a2c0a5826d7896508f True
12 8766b6a36510c2904b1cf63c7bdd527d6f473788786bad75d6aa7850ed6c6652 True
14 c101d7b5ed12b0225c91777604f285db1680813a6050984a691dc903ace108f4 True
15 254f2295598d231327c416a88eedaad315089e53a37d976958051823341b36fa True
16 404f96a0b1aa8e8d17b5ccd0b1280783bbf3e3dd6fc8643f288e4413c40f8e4f True
17 d40e7c10863dd641170cb18ca4e35269ebe2e22e4ae2a02cf9dc02f206151772 True
19 766152024068245a0de69859b07465b696ecb67006eb8c3a719ae4d961ac1878 True
20 None False
21 c74ca269ac404644b84d9383a06ae3dab936fc4fcba310be837379e233e90da6 True
22 49e66a4635259397a0926c1287634ce1489ed1c0f863f932fdbdad970638f10c True
23 8db98c0823cf79b03d3a51bb3e47fa4bdb2dfae0dcfc600ff8b4e1851c60dd6a True
27 None False
28 3dd905497d488b827a673780c852521ac38d220f0e9ddcb1f43814b289998bbd True
29 None False
31 ed7878772fb1f80fc6adc14555c5cdbfc3bcb16a0686c0cef380a89a97680371 True
32 73661e47cb0173e6d9c1c94b52dfcf1113058ab9b21c20d66581e2401664cced True
33 a1737f98297b2aded1edebaab197321f810a760b61e2f14b6a78f8e36c20c11f True
36 83664ac6fac46ef742359d53e30c23c1c128d213ffad1f1458b0cca288b287cb True
37 6137ffbb04951f87323b60521847aa202ed1d82dc4df7b935bebc7d51533a547 True
38 9680963cd73177f05e4a8e853fd1afdfac29e7e3e862687de62dff514ce6e6dc True
39 79134d2e03ee5c40acae4d01ae515282cbddc43a517b5506af250185ebd5b4ec True
41 0eff6e0936cf6492814c10676b20fb65ab5045ba8921ecf05b7c438c58ee12e7 True
42 d25f1af2e3264583b1d66cc7ad2f8f1904b5071c3fc574d6b7a3995254c9cbc8 True
43 aebce9272131c6738fbb49b63e8db4a9341d46b4d9dbe77e202efc9b6b62afee True
44 None False
45 423f38e1ab60f887df0d94c36a746c0abbcb8f05ee86153a2892330257ab8183 True
47 8fa47be529f7419c371ce067d0f416051678584df2889cbdfc127ec489650658 True
48 None False
50 None False
52 None False
54 ac62929890c2817bec4c37f78c32e55009c29a2f393ed0af3a0c5e0ae9d140ec True
57 210b635f2b379211e63d33305e0caba99476983d84fa623eaa09bc0dd63aa834 True
58 525861d29666e7de98ad9689f614d23e2dcb8fccb7d72b4350a212be9f96183b True
59 34b3af6c2cbe38b3222071134b92c911b8fe0058b58045b600b354cefd34e113 True
60 None False
61 600c1ff2c59266d9a888e3ae49b9c76a7bdd22a3a45a4b7d474643baa214794a True
63 143edfcf08098c0c570b4a38ebfc6b4a82779fd996f6ced4c5221d3d6a101a8b True
64 28b8eb7713540aa0a31e5cf31211310f7f6e28f8b948e8e2bb67cd96186aff02 True
65 16088cb63b7443b5c228499ff2ca87cf48cfab08462dc95e883f0d91a27ac3c9 True
66 8166f1edc0898ad66a80672e63f0b4e710788063436f668287a44cf1515a9e21 True
67 9ec68e6fe121de76d4c9c6e156f50a191d36a443017da624a75c7d47d19beb82 True
68 bb501a202c75d128f99e2a9b81b897bcf539678c3d46a07d15baf8756d88715b True
69 44167213cf7de57abc9e0d2ae3222859eddad2cc7fb9c3c3bcae1c263f2fabab True
70 0446a71f98e2ab5e5d0cbb71e83a2323a222b899ebdff3ce5df2b67cac342e95 True
71 89c1c508ca691fefee6ee235c1e3500c404313b64e6602fcb3a3ffaad2b76338 True
72 40b10388522c8fb29750507d6003ab039f1db8814598710be33ce92bcc2ddb1f True
73 20405fb852764550a2bf95a0b1b4d9475ff6c7b83f78754e320af775fda832d7 True
74 d2c0cf744f4f0e7ab5efbef5e7cfdb62ec3571618b0c86733002a59eacfdc12c True
